row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms
trial,divergence-n2-random_position-1e4,13,2,20000,partition_heal,1,1,297.361,,,
trial,divergence-n2-random_position-1e4,14,2,20000,partition_heal,1,1,377.256,,,
trial,divergence-n2-random_position-1e4,15,2,20000,partition_heal,1,1,291.334,,,
trial,divergence-n2-random_position-1e4,16,2,20000,partition_heal,1,1,306.864,,,
trial,divergence-n2-random_position-1e4,17,2,20000,partition_heal,1,1,325.334,,,
trial,divergence-n2-random_position-1e4,18,2,20000,partition_heal,1,1,296.269,,,
trial,divergence-n2-random_position-1e4,19,2,20000,partition_heal,1,1,291.456,,,
trial,divergence-n2-random_position-1e4,20,2,20000,partition_heal,1,1,284.310,,,
summary,divergence-n2-random_position-1e4,20,2,20000,partition_heal,1,1,,297.337,291.334,325.334
trial,divergence-n2-same_region-1e4,1,2,20000,partition_heal,1,1,513.970,,,
trial,divergence-n2-same_region-1e4,2,2,20000,partition_heal,1,1,495.627,,,
trial,divergence-n2-same_region-1e4,3,2,20000,partition_heal,1,1,497.340,,,
trial,divergence-n2-same_region-1e4,4,2,20000,partition_heal,1,1,484.517,,,
trial,divergence-n2-same_region-1e4,5,2,20000,partition_heal,1,1,484.820,,,
trial,divergence-n2-same_region-1e4,6,2,20000,partition_heal,1,1,532.972,,,
trial,divergence-n2-same_region-1e4,7,2,20000,partition_heal,1,1,561.360,,,
trial,divergence-n2-same_region-1e4,8,2,20000,partition_heal,1,1,504.382,,,
trial,divergence-n2-same_region-1e4,9,2,20000,partition_heal,1,1,496.960,,,
trial,divergence-n2-same_region-1e4,10,2,20000,partition_heal,1,1,539.042,,,
trial,divergence-n2-same_region-1e4,11,2,20000,partition_heal,1,1,515.892,,,
trial,divergence-n2-same_region-1e4,12,2,20000,partition_heal,1,1,506.954,,,
trial,divergence-n2-same_region-1e4,13,2,20000,partition_heal,1,1,503.385,,,
trial,divergence-n2-same_region-1e4,14,2,20000,partition_heal,1,1,520.254,,,
trial,divergence-n2-same_region-1e4,15,2,20000,partition_heal,1,1,500.458,,,
trial,divergence-n2-same_region-1e4,16,2,20000,partition_heal,1,1,501.689,,,
trial,divergence-n2-same_region-1e4,17,2,20000,partition_heal,1,1,524.063,,,
trial,divergence-n2-same_region-1e4,18,2,20000,partition_heal,1,1,471.835,,,
trial,divergence-n2-same_region-1e4,19,2,20000,partition_heal,1,1,555.026,,,
trial,divergence-n2-same_region-1e4,20,2,20000,partition_heal,1,1,470.586,,,
summary,divergence-n2-same_region-1e4,20,2,20000,partition_heal,1,1,,509.057,503.385,555.026
