row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms
summary,divergence-n2-same_region-1e3,20,2,2000,partition_heal,1,1,,30.125,29.611,33.828
trial,divergence-n2-append-1e4,1,2,20000,partition_heal,1,1,287.120,,,
trial,divergence-n2-append-1e4,2,2,20000,partition_heal,1,1,242.777,,,
trial,divergence-n2-append-1e4,3,2,20000,partition_heal,1,1,281.467,,,
trial,divergence-n2-append-1e4,4,2,20000,partition_heal,1,1,270.961,,,
trial,divergence-n2-append-1e4,5,2,20000,partition_heal,1,1,338.568,,,
trial,divergence-n2-append-1e4,6,2,20000,partition_heal,1,1,250.267,,,
trial,divergence-n2-append-1e4,7,2,20000,partition_heal,1,1,249.994,,,
trial,divergence-n2-append-1e4,8,2,20000,partition_heal,1,1,274.823,,,
trial,divergence-n2-append-1e4,9,2,20000,partition_heal,1,1,276.825,,,
trial,divergence-n2-append-1e4,10,2,20000,partition_heal,1,1,261.443,,,
trial,divergence-n2-append-1e4,11,2,20000,partition_heal,1,1,264.174,,,
trial,divergence-n2-append-1e4,12,2,20000,partition_heal,1,1,257.928,,,
trial,divergence-n2-append-1e4,13,2,20000,partition_heal,1,1,282.842,,,
trial,divergence-n2-append-1e4,14,2,20000,partition_heal,1,1,245.034,,,
trial,divergence-n2-append-1e4,15,2,20000,partition_heal,1,1,241.324,,,
trial,divergence-n2-append-1e4,16,2,20000,partition_heal,1,1,256.653,,,
trial,divergence-n2-append-1e4,17,2,20000,partition_heal,1,1,256.814,,,
trial,divergence-n2-append-1e4,18,2,20000,partition_heal,1,1,264.200,,,
trial,divergence-n2-append-1e4,19,2,20000,partition_heal,1,1,244.270,,,
trial,divergence-n2-append-1e4,20,2,20000,partition_heal,1,1,241.929,,,
summary,divergence-n2-append-1e4,20,2,20000,partition_heal,1,1,,264.471,257.928,287.120
trial,divergence-n2-random_position-1e4,1,2,20000,partition_heal,1,1,297.208,,,
trial,divergence-n2-random_position-1e4,2,2,20000,partition_heal,1,1,287.375,,,
trial,divergence-n2-random_position-1e4,3,2,20000,partition_heal,1,1,305.633,,,
trial,divergence-n2-random_position-1e4,4,2,20000,partition_heal,1,1,340.063,,,
trial,divergence-n2-random_position-1e4,5,2,20000,partition_heal,1,1,308.218,,,
trial,divergence-n2-random_position-1e4,6,2,20000,partition_heal,1,1,282.137,,,
trial,divergence-n2-random_position-1e4,7,2,20000,partition_heal,1,1,270.992,,,
trial,divergence-n2-random_position-1e4,8,2,20000,partition_heal,1,1,288.035,,,
trial,divergence-n2-random_position-1e4,9,2,20000,partition_heal,1,1,290.833,,,
trial,divergence-n2-random_position-1e4,10,2,20000,partition_heal,1,1,340.066,,,
trial,divergence-n2-random_position-1e4,11,2,20000,partition_heal,1,1,299.924,,,
trial,divergence-n2-random_position-1e4,12,2,20000,partition_heal,1,1,298.977,,,
trial,divergence-n2-random_position-1e4,13,2,20000,partition_heal,1,1,274.958,,,
trial,divergence-n2-random_position-1e4,14,2,20000,partition_heal,1,1,300.847,,,
trial,divergence-n2-random_position-1e4,15,2,20000,partition_heal,1,1,289.954,,,
trial,divergence-n2-random_position-1e4,16,2,20000,partition_heal,1,1,379.575,,,
trial,divergence-n2-random_position-1e4,17,2,20000,partition_heal,1,1,313.407,,,
trial,divergence-n2-random_position-1e4,18,2,20000,partition_heal,1,1,323.536,,,
trial,divergence-n2-random_position-1e4,19,2,20000,partition_heal,1,1,294.671,,,
trial,divergence-n2-random_position-1e4,20,2,20000,partition_heal,1,1,301.507,,,
summary,divergence-n2-random_position-1e4,20,2,20000,partition_heal,1,1,,304.396,298.977,340.066
trial,divergence-n2-same_region-1e4,1,2,20000,partition_heal,1,1,240.174,,,
trial,divergence-n2-same_region-1e4,2,2,20000,partition_heal,1,1,276.710,,,
trial,divergence-n2-same_region-1e4,3,2,20000,partition_heal,1,1,274.604,,,
trial,divergence-n2-same_region-1e4,4,2,20000,partition_heal,1,1,246.635,,,
trial,divergence-n2-same_region-1e4,5,2,20000,partition_heal,1,1,273.550,,,
trial,divergence-n2-same_region-1e4,6,2,20000,partition_heal,1,1,243.002,,,
trial,divergence-n2-same_region-1e4,7,2,20000,partition_heal,1,1,266.491,,,
trial,divergence-n2-same_region-1e4,8,2,20000,partition_heal,1,1,251.185,,,
trial,divergence-n2-same_region-1e4,9,2,20000,partition_heal,1,1,249.886,,,
trial,divergence-n2-same_region-1e4,10,2,20000,partition_heal,1,1,244.194,,,
trial,divergence-n2-same_region-1e4,11,2,20000,partition_heal,1,1,248.709,,,
trial,divergence-n2-same_region-1e4,12,2,20000,partition_heal,1,1,236.532,,,
trial,divergence-n2-same_region-1e4,13,2,20000,partition_heal,1,1,264.445,,,
trial,divergence-n2-same_region-1e4,14,2,20000,partition_heal,1,1,242.052,,,
trial,divergence-n2-same_region-1e4,15,2,20000,partition_heal,1,1,243.932,,,
trial,divergence-n2-same_region-1e4,16,2,20000,partition_heal,1,1,259.016,,,
trial,divergence-n2-same_region-1e4,17,2,20000,partition_heal,1,1,243.965,,,
trial,divergence-n2-same_region-1e4,18,2,20000,partition_heal,1,1,316.533,,,
trial,divergence-n2-same_region-1e4,19,2,20000,partition_heal,1,1,230.217,,,
trial,divergence-n2-same_region-1e4,20,2,20000,partition_heal,1,1,261.560,,,
summary,divergence-n2-same_region-1e4,20,2,20000,partition_heal,1,1,,255.670,248.709,276.710
